Experiment,Side A,Side B,Winner
1,Side A: -0.5181440000000088 units,Side B: 8 units,Side B
2,Side A: 15 units,Side B: -8.25 units,Side A
3,Side A: 12 units,Side B: -8.575999999999999 units,Side A
4,Side A: 20 units,Side B: -25.0 units,Side A
5,Side A: 0.0 units,Side B: 12 units,Side B
